ID,Name,Nonprofit_Commercial,Description
475,Spark Makerspace,N,"Mission and history: Spark Makerspace was founded in 2015 by a group of artists, techies, and entrepreneurs, all of them makers, looking to support creativity by providing urban dwellers and the region with resources they did not have at home. With support from CTNext, the City of New London, and some very generous individuals, we opened our first community workshop space at 86 Golden Street in New London CT in June 2016. In 2017 we relocated to State Street where we grew from 30 to 130 active members. Spark was awarded a Frank Loomis Palmer grant which helped hire an Executive Director, and awarded 12 scholarships. The move provided an opportunity to restructure the organization and focus on a member-centered approach to organizing. As part of that effort, Spark formed a Member Advisory Council with 2 seats on the Board of Directors. The Council empowered members to develop education policies and procedures. The Council initiated Spark’s hallmark accomplishments of Classes and Meetups where members teach and share skills within the community and with the general public. Spark Makerspace grew beyond the capacity of the State Street location. To accommodate growth and embrace the momentum, Spark and friends bought a historic 9,400 square foot commercial building on Union Street in New London which it renovated throughout 2021 and is proud to say is now completed and open!  

Mission: Supporting makers with the space, equipment, education, and community to create a spark in their creativity.  

Vision:   To be a vibrant community hub for making, creativity, and collaboration in southeastern CT.  

CORE VALUES:   

Social: Being a SOCIAL hub for support, inspiration and empowerment for all who make and all who want to learn to make. 

Positivity: We know that a POSITIVE, supportive, educational community culture is necessary for people to grow in their skill levels, whether beginner or advanced. 

Access: Providing ACCESS to state of the art tools in a facility that supports new learners and people who are highly experienced in their craft. 

Responsibility to be diverse: We have a RESPONSIBILITY to celebrate our cultural roots and gifts to create a society within our space that embraces differences, actively includes a variety of voices, and joins together to be the example for unity in our community and beyond. 

Know-how: The skilled crafts people, artists, DIYers, students, teachers, engineers, hackers, hobbyists & activists pride themselves on their “KNOW-HOW to get it done” attitude and engage the Spark community to build new skills together. "
481,Makerspace Pinellas,N,"Come, learn, and create: we are a nonprofit here to help people of all ages learn the (science, technology, engineering, art, and math) in a fun and collaborative environment. Makerspace Pinellas has a thriving group on Facebook and we are always welcoming makers to join in the discussion. A Makerspace (also referred to as a Hacklab, hackspace or Hackerspace) is a community-operated, often not-for-profit (501(c)(3) in the United States) workspace where people with common interests, such as computers, machining, technology, science, digital art or electronic art, can meet, socialize and collaborate. MakerSpace Pinellas offers classes, hosts and takes part in events, and is open for collaboration between members on all sorts of projects. Non-member visitors are welcome to visit for a tour to find out more about the space, and many classes are open to non-members at varying costs. "
469,The WorcShop,C,"The WorcShop is a 54,000 sqft Business Incubator & Industrial Makerspace focused on manufacturing and industrial arts. A full complement of over 2 million dollars of industrial tooling including advanced equipment like 3D printers, CNC machines, welders, plasma cutters, SolidWorks Software, and much more! We're now open for Members 24/7! Our space leans towards the industrial. You can find more information about the shops, tools, and equipment we offer in our Shop Directory and our Equipment Directory. The WorcShop will be a major force in the revitalization of Central Massachusetts as an entrepreneurial center for New England. We'll accomplish this by promoting artistic/engineering endeavors, non-traditional educational initiatives, and technological research and development, while simultaneously securing Worcester’s place at the leading edge of the new ""Innovation Economy.” 

 

Incubate your business at the worcshop. We specialize in larger-scale projects & industrial applications such as machining, welding, plasma cutting, ventilated painting, blacksmithing, forging, casting, and various other processes that require lots of heat and pressure. We are in the process of adding large-scale sandblasting, automotive repair, carpentry, glass, ceramics & more in the coming months. The Shop also offers various common-use industrial workstations 

On the Studio side, we have individual offices (WorcSuites or WorcSpaces) & cubicle style WorcBays where we incubate numerous businesses, including Eternity Ironworks, True Life Photography of MA, Kat's Hammer & many others. 

The WorcShop offers the community a place where people can follow their passions and creativity without serious monetary restrictions. We have seen the crucial role that maker spaces can play for adults in other cities by providing access to tools, materials, and mentorship that otherwise cannot be found. We also recognized that the Artisan and Maker Movement offers a new way to re-engage our youth as active learners -- motivating students to learn about art, science, and technology as well as to gain valuable practical experience developing creative and innovative projects. We believe that The WorcShop promotes creativity, and will also play a significant role in developing an ecosystem that contributes to the economic and cultural life of Worcester. "
477,Past Lives,C,"I spent five years in prison. During that time, I searched for ways to stay hopeful and active. I had worked in factories and woodworking shops, so I applied those skills to figure out a future helping others. My dream was to create a place where the formerly incarcerated could get a shot at renewal while learning a trade and earning a fair wage. 

In late 2020, I opened Past Lives as a small makerspace in Southeast Portland. We began offering membership and classes with a wood shop and metal shop. And as we grew, we created employment opportunities for those struggling to reenter the workforce. 

Past Lives is now flourishing in an expansive new space at 2808 SE 9th Avenue in Portland. I'm still building the vision, but now I have the support of a partner who knows how to build a business: Glenn Dahl, co-founder of Dave's Killer Bread. 

Past Lives is a 26,000 sq. ft. makerspace providing members 24/7/365 secure access to a wood shop, metal shop with blacksmithing, welding fabrication, and metal casting; textiles studio with screen printing, auto-embroidery and leather working; stained glass studio, Tech hub with CNC and 3D printing; dark room for film and photography, and more!  

Our in-house Design + Build team is a licensed contractor, and our expansive facilities enable us to accept unique commissions of all sizes, from bespoke art to construction. Spearheaded by two women, the D+B team also provides employment opportunities and skills training to formerly incarcerated artists. 

We offer private studio spaces for rent to business owners and hobbyists alike, and host classes, art galleries, and various events. For potential clients commissioning art or industrial prototyping, we're a one-stop-shop for any custom fabrication project; and for local artists, we provide the collective resources to flourish through creative collaboration. 

Our Guild Hall houses the physical means and collective spirit to invest in a rewarding, sustainable career in the arts and industries. "
500,MPLS Make,C,"MPLS MAKE is the perfect space to create beautiful things from wood or metal alongside other awesome members. Our 8,500 sqft shop is complete with state of the art equipment, a full dust collection system, incredible lighting, and 20ft ceilings. When you walk in, you get the sense that you could build anything here. "
506,Umakers,C,"We start up startups in Claremont California. What is UMakers? UMakers is a California makerspace that opened in late 2016. Makerspaces are places where people can gather to create, invent, and learn. We are the ""Creative Class,"" and part of the ""sharing economy""  and Freelancers who Now Make Up 35% Of U.S. Workforce. Our members share access to maker tools and technologies such as 3D printers, a laser cutter, a wide format printer, a CNC router and a CNC milling machine. The value of this equipment is over $90,000.  Come meet and develop relationships with future potential business partners and have a cup of coffee. Leverage UMakers as an inventor’s lab, open prototyping lab, and small business accelerator or incubator. (The first and only one in San Bernardino County!)  

UMakers is a makerspace that has adopted the guidelines developed under the Fab Lab Foundation 

UMakers is: A place to meet and work on team projects together. A place for businesses to send their employees to get their “creative on.” An Art’s, Crafts and Electronics store for members, including free workshops.   "
522,Seattle Makers,C,"Our mission is to provide the knowledge, tools, and space for anyone to make their ideas a reality. We are a community of makers that provides access to world-class facilities and education. Whether you’re a long-time maker, in a specialized field, or just curious, you are welcome to join us! Jeremy Hanson, the founder of Seattle Makers, has been designing and building projects since childhood. He discovered an amazing maker community as a member of Metrix Create:Space and MakerHaus. After years of experience participating at a variety of Seattle’s makerspaces, he decided to create Seattle Makers in 2017. 

A makerspace on Wallingford Street in Seattle where we help you made the things you want to make. Join our community of makers were you make all the difference. We’ve all abandoned ideas on the project finished. Having direct resources makes all the difference but tools are expensive, online tutorials are confusing, and apartments are cramped. Enter Seattle Makers – – a makerspace with tools, knowledge, and space you need to make anything. Don’t leave your ideas scribbled down in your junk drawer forever. Join us and turn your ideas into completed masterpieces! "
529,Tarrant County Makerspace,C,"Our Mission: We serve the community by unlocking the creative and productive potential of the individual.  We believe that given the right environment, education and tools, anything is possible. 

Our Vision: We believe that a sustainable maker community must be built from the ground up by people like you.  Our vision includes 5 locations, 4 satellite locations ~5,000 to 10,000 sf each around loop 820, north, south, east and west and one larger location central to downtown ~15,000 to 30,000 sf.  Once the 4 satellite locations are self sustaining we will look for our final location in the heart of Fort Worth.  Obviously this will take time, the speed at which we bring this vision to fruition depends entirely on the support we receive from our local maker community.  If you share this vision please consider becoming a member. "
33,Baltimore Hackerspace,N,"Established in February 2009, Baltimore Hackerspace is a non-profit 501(C)(3) charitable organization set forth to create a place for real people to collaborate on real projects in a real place. In other words we provide a place that encourages nerds to get out from behind their desk.  We were originally formed under the name Harford Hackerspace, even though we never were in Harford County. 

A typical night consist of socializing, learning, collaborating, and building. We have a very diverse group of members with skills in Electronics, Software, and Mechanical engineering. Each member has their own strengths and as a group we can accomplish anything. We often work with PIC, AVR and other micro controllers platforms such as MBED, Netduino, Arduino…. the list just keeps going. 

That’s not all! We get our hands dirty also. We have a good set of wood and metal working tools including a table saw, drill press, router, lathe, DIY CNC Mill, air compressor… and again the list keeps going.  Click here to see some of our neat tools. 

You can bring your own project or work on a group project. The goal is to meet new friends and learn from them. There is no need to be an expert at anything. Anyone with the right attitude can be a member. "
94,Decatur Makers,N,"It all began in 2012 . . . with a small group of people who envisioned a diverse community and welcoming place where people of all ages could work together to make things. 

Mission: To empower a community of builders, creatives, and learners.  

Vision: Decatur Makers envisions a world where anyone can make anything. 

 

Decatur Makers is the only all-ages community makerspace in Georgia 

Our diverse community is made up of makers from 5 to 105 years old including artists, designers, fabricators, welders, woodworkers, engineers, textile workers, programmers, 3D printing professionals, crafters, teachers, students, entrepreneurs, and others. Our community has hobbyists as well as professionals learning and building all kinds of cool projects. Our goal has always been to foster a place where all makers feel welcomed and accepted regardless of background, race, gender, lifestyle, skill sets, experience, or age. We strive to include all makers around Atlanta by keeping our membership dues low, providing needs-based scholarships, and offering most of our programs to the public. 

Our programs include membership to our space, classes that are open to the public, free community gatherings for youth and adults, youth STEAM outreach and teacher professional development, and solving problems with the help of our community expertise to build solutions for our community partners. 

Our Motto: Build, Share, Explore 

Think of our makerspace as a playground for your imagination where we create opportunities for lifelong learning – it’s where people of all ages come together for the purpose of encouraging kids and adults from all different backgrounds to learn new skills, realize their passions, and feel empowered. This idea of developing confidence and agency (by making lots of mistakes and learning from them!) is central to all that we do. 

Through our community expertise, tools & equipment, classes, and youth outreach, we encourage people of all ages and backgrounds to build things with their hands and minds, share their knowledge and creative energy, and explore new ideas and opportunities to be innovative. "
479,Factory 3,N,"Factory 3’s mission is to create a space that empowers makers to realize their full potential by removing as many barriers as possible.  

“I started Factory 3 because I felt that it would be a catalyst for explosive growth in Portland’s creative economy. Having visited makerspaces across the country, I have seen firsthand what happens when people of different backgrounds work together in an environment that is intentionally setup to remove as many barriers as possible to creative growth. 

There should be no judgment. The space should be spotless. Tools should be easy to find. Help should be easy to locate when needed. If you want to improve yourself as a maker or business owner, Factory 3 is open for membership.” 

Why the name “Factory 3”? 

We are called Factory 3 because we are a factory of the third industrial revolution – the maker movement. Access to manufacturing has been democratized and the potential is nearly limitless. Anyone with a good idea, and the willingness to work hard, can be a part of it. 

By offering a workspace with tools, studios, classes, and a supportive community of other makers, Factory 3 helps unlock the amazing creative abilities within all of us. "
335,The Phoenix Asylum,N,"The Phoenix Asylum is a Non-Profit Workshop Cooperative and Makerspace in Boulder, CO's lovely east-side warehouse district. Since 2007, we have been providing workshop space to local artists and craftspeople in a collaborative, walls-free environment. 

We offer workshop space in 100-200 sq. ft. increments along with access to some common workshop facilities such as welders, plasma cutter, saws, grinders, drill press, and air compressor. 

Phoenix Asylum artists have included metal workers, bike builders, glass artists, painters, machinists, gem sculptors, concrete sculptors, musicians, and more. As long as you don't mind the concrete floors and a rough-and-ready environment, you might fit in! 

We keep costs low by being 100% volunteer run, and 100% member managed. No external management or administrative costs means the space stays low cost, and the cooperative environment keeps the floors clean and repairs done. 

The Phoenix Asylum is operated by Anvil Partners, Inc, a public charity under Internal Revenue Code section 501(c)(3). "
223,LV1 Hackerspace,N,"LVL1 is a hackerspace (sometimes called a makerspace) in Louisville. Our hackerspace is an open community lab and workshop democratically operated by its membership. We are friendly community of tinkerers, makers, engineers, educators, scientists, artists, hackers and overall geeks. Anyone who is, aspires to be, or just wants to hang around smart, creative, friendly mad scientist maker/hacker Louisvillians is welcome at LVL1! We've got lots of cool tools and equipment. We've got a lot of really bright and creative people. We like to work on (and show off) fun and challenging technical projects. 

We highly recommend you show up for one of our Tuesday open meeting and open build nights! We briefly go through some membership agenda items. We tell you what's currently going on at the space. We tell you about any challenges the space is facing (technical or otherwise). People are free to talk about projects they are working on or planning. Then once the meeting is adjourned, free-for-all making continues. We give a tour of the space. Everyone is free to work on projects, socialize and geek out. It's a great time to hang out with fellow geeks working on cool DIY tech projects. You'll probably get inspired! "
17,All Hands Active,N,"We’re a welcoming community of makers and hackers committed to sharing and democratizing technology—from circuitboard prototyping to spinning wool. Founded in 2009, AHA! is Ann Arbor’s original makerspace and hackerspace. We centralize resources, tools, and expertise for learning, making, and doing. 

AHA! is a space to create. We help with a wide assortment of processes like soldering, sewing, laser cutting, software development, 3d printing, CNC routing, app development, carpentry, machining, Arduino and embedded systems programming. Our goal is to make technology and fabrication as fun and empowering as playing with Legos. We put diverse skills and equipment under one roof to accommodate the unanticipated needs of creative and innovative projects. 

We believe that if you can’t fix it, you don’t own it. At AHA! you can take apart the things you take for granted: learn how they work and how to adapt them to your purposes! 

We make Ann Arbor smarter by hosting classes and workshops, sharing our skills, making our tools and workshop accessible to the wider community, and cultivating a welcoming community of hackers, makers and creative types. 

We strive to be as accessible as possible with low costs, classes and a welcoming environment for all. Good things happen when we lower barriers between people and their creativity. 

All Hands Active is structured as an all volunteer-run 501(c)(3) non-profit community organization. "
51,Bozeman Makerspace,N,"The Bozeman Makerspace is a Makerspace located in Bozeman, MT. If you have an interest in making or modding things, or just want to learn how things work, this is the place for you. 

Our Makerspace is a workshop combined with a meeting space where people of similar interests or skills can converge to create, modify, learn, talk and build. 

You don’t need to be proficient with any tools, skill, computer, or even know how to solder. All you need to the desire to learn or teach. 

A Makerspace allows groups of people to pool resources and create a community of people with varied interests. These interests may include but are definitely not limited to: circuitry, robotics, soldering, woodworking, fabricating, programming, networking, hacking, bending, etc. "
298,Mothership HackerMoms,N,"Mothership HackerMoms is the first-ever women’s creative life lab for mothers (broadly defined). We make, we hack, we start businesses, we collaborate and commiserate, we fail together, and we grow together. We were founded in April 2012 by and for creative mothers and our families. HackerMoms has been widely covered in the press as a pioneer in the emerging family-based DIY culture. 

We’re often asked why a hackerspace for mothers? All work and no play makes mom a dull mother, lover and friend! Happy mothers – that is, fulfilled women who are learning and using their talents – are good for the family, the community and the world. HackerMoms is founded on the idea that mothers need a creative outlet and safe environment of encouragement, stimulation, support and permission to explore new ideas. 

We didn’t need another playgroup. We wanted something that didn’t exist, a kid-friendly hackerspace to explore our creative sides. HackerMoms is like the mythical village that raises the child and the mother together. 

Think of us as a mom rescue for lost creative lives and selves put on hold. Most importantly, it’s where moms come to have fun. If we don’t support this playful creative self every day, we risk burnout, depression, and 2-yr-old-level temper tantrums! "
121,Fair Use Building and Research (FUBAR) Labs,N,"Fair Use Building and Research (FUBAR) Labs is New Jersey’s First Hackerspace established in New Brunswick in 2009. FUBAR Labs is a 501 (c)(3) non-profit organization. 
FUBAR Labs was formed as a non-profit community-based organization run by dedicated volunteers with the purpose of bringing makers, hackers, and tinkerers together to collaborate and share ideas and knowledge. We are a community of people with common interests such as computers, electronics, DIY, software, technology science and crafts. We organize and offer classes, workshops, study groups and collaborative events and projects. 

Mission Statement: The purpose of FUBAR Labs is to promote and encourage technical, scientific, and artistic skills though individual projects, collaboration, and education. "
45,BioCurious,N,"Welcome to BioCurious! 

At BioCurious, we believe that innovations in biology should be accessible, affordable, and open to everyone. We’re building a community biology lab for amateurs, inventors, entrepreneurs, and anyone who wants to experiment with friends. 

BioCurious is a complete working laboratory and technical library for entrepreneurs to cheaply access equipment, materials, and co-working space. We have a training center for lab techniques, with an emphasis on safety, and offer a meeting place for citizen scientists, hobbyists, activists, and students to innovate. 

BioCurious is a community that includes people from many different backgrounds from those who last took biology in high school to professional scientists, and even artists and social scientists.  Anyone from the public is welcome to participate in our community projects free of charge. If you wish to work in the lab on a personal project, you can join as a member.   "
190,Idea Fab Labs,C,"Facility: Idea Fab Labs are member-driven creation zones located in Chico and Santa Cruz, California. The Idea Fab Labs Chico facility is located at 603 Orange St, four blocks from CSU, Chico with multiple workspaces, access to standard and high-tech tools, a gallery, indoor and outdoor areas for group activities, and an active community of makers, designers, artists, programmers and more. 

Community: Meet and collaborate with people who are interested in electronics, programming and future-art. Idea Fab Labs is an open source, do-it-yourself culture! We facilitate educational classes and workshops including Safety and Basic Use classes as well as a rotating catalog of offerings on more advanced and specialized topics, including guest teachers. 

Installations & Exhibits: Idea Fab Labs produces hands-on science museum exhibits such as the Augmented Reality Sandbox, LED Ceiling, and other unique projects and installations. 

Contract Work: Need something unique produced with a laser cutter, CNC, 3D printer, electronics, etc? We may be able to help. "
307,NextFab,C,"NextFab is a network of collaborative makerspaces for professional makers. Here you can expand your skills, find your passions, and turn ideas into realities. 

A NextFab membership provides machinery, classes, community, and studio space for you to grow in your craft. We are constantly finding cutting-edge ways to combine digital technology with traditional tools. This multidisciplinary approach, combined with the physical space to make whatever you can imagine, is a whole new way to create. 

We believe in learning by doing, and we’re here to welcome, support, and inspire you as you learn and make. If you have a dream you can’t realize on your own, NextFab may be the key to unlocking that door. Access our makerspace network by becoming a member today! Unlock 24/7 access to our makerspace by applying for extended access. 

Makerspaces, Studios, Machines, and Workshops Nearby 

Have you outgrown your hobby workstation at home? Is your material storage starting to impact the rest of your space? Here at NextFab, you can build and store anything you can dream of. 

We provide state-of-the-art tools, equipment, and training in all skill levels and departments. Our classes span the world of making, from 3D printing to laser cutting to textiles. Our goal is to help you bridge the gap between your current abilities and your dreams. NextFab classes and experts are here to help your passions and business grow, wherever your interests lie. 

Whether you’re looking for shared workshop space, tools and machinery, or a nearby maker lab, NextFab has you covered. Maybe your home is no longer sufficient for your workload, or you don’t know where to store your projects. We have the space and support you need! 

NextFab Community Workshop 

We believe that experiences are better in community—woodworking, shop classes, jewelry making—you name it. Humanity thrives on, connection, after all; why shouldn’t we approach making in the same way? We designed our environment to spark collaboration because innovation and passion don’t just happen in a vacuum. After all, we’re just a building with tools without our makers. 

No matter what you’d like to create, NextFab has the support you need. Our collaborative group of members means inspiration is always around the corner. NextFab will transform the way you make. Every level of membership grants unlimited access to our studios, an impressive tool and machine catalog, our entire class list, our network of members, as well as our recommended suppliers and vendors. 

If you are a Philadelphia local in search of a studio, woodshop, or machine workshop near you, we hope to see you in one of our makerspaces soon! "
7,757 Makerspace,C,"Looking to make something? A wooden thing? A metal thing? An electronic thing? A 3d thing? A Skoolie or van conversion? Make that and more here with us! 

At 757 Makerspace, we believe there’s a maker in everyone. With two locations in Norfolk and Hampton, Virginia we offer 65,000+ square feet of workshop space, studio spaces, tools, equipment and a community of creatives to work along side of… it’s a playground for creativity and innovation. 

TAKE A CLASS 

Embark on a creative journey with our classes and workshops, where you’ll be guided by our team of skilled experts. Our hands-on approach ensures personalized attention, fostering your skills and unleashing your creative potential in a supportive and innovative environment. 

BECOME A MEMBER 

Ready to dive into a world where creativity and collaboration reign? Choose the payment plan that fits your life – monthly, quarterly, or yearly – and begin your journey. This is your moment to join a community that transforms dreams into reality. Don’t wait; start creating, learning, and growing with us now! "
